연번,지방청,경찰서,관서명,급지,구분,경찰_전화번호,경찰_주소
1,서울청,서울중부,을지,1,지구대,02-2279-1908,서울특별시 중구  을지로 234
2,서울청,서울중부,광희,1,지구대,02-2233-1444,서울특별시 중구  퇴계로 375-1
3,서울청,서울중부,약수,1,지구대,02-2234-8112,"서울특별시 중구  동호로 5길 15, 약수지구대"
4,서울청,서울중부,신당,1,파출소,02-2252-0435,"서울특별시 중구  다산로 248 (신당동, 신당파출소)"
5,서울청,서울중부,장충,1,파출소,02-2274-9003,서울특별시 중구  동호로 261
6,서울청,서울중부,충무,1,파출소,02-2278-7710,서울특별시 중구  퇴계로 178
7,서울청,서울중부,을지로3가,1,파출소,02-2266-2404,서울특별시 중구 충무로56-1
8,서울청,서울종로,종로2가,1,지구대,02-3701-4301,서울특별시 종로구  종로17길 4 종로2가파출소
9,서울청,서울종로,관수,1,파출소,02-3701-4302,서울특별시 종로구  삼일대로 386
10,서울청,서울종로,세검정,1,파출소,02-3701-4507,서울특별시 종로구  세검정로 226 
11,서울청,서울종로,평창,1,파출소,02-3701-4308,서울특별시 종로구  평창문화로 46
12,서울청,서울종로,삼청,1,파출소,02-3701-4303,서울특별시 종로구  삼청로 66
13,서울청,서울종로,통의,1,파출소,02-3701-4304,서울특별시 종로구  효자로 9
14,서울청,서울종로,청운,1,파출소,02-3701-4305,서울특별시 종로구  자하문로 92-1
15,서울청,서울종로,옥인,1,파출소,02-3701-4506,서울특별시 종로구  자하문로17길 24
16,서울청,서울종로,교남,1,파출소,02-3701-4310,서울특별시 종로구  송월길 167(교북동 10-38)
17,서울청,서울종로,세종로,1,파출소,02-3701-4312,서울특별시 중구  세종대로 141
18,서울청,서울종로,신문로,1,파출소,02-3701-4311,서울특별시 종로구  경희궁길 6-3
19,서울청,서울종로,사직,1,파출소,02-3701-4309,서울특별시 종로구  사직로9길 1
20,서울청,서울종로,청진,1,파출소,02-3701-4313,서울특별시 종로구  삼봉로 33 청진파출소
21,서울청,서울남대문,태평로,1,파출소,02-2096-8471,서울특별시 중구  다동길 11
22,서울청,서울남대문,서울역,1,파출소,02-2096-8472,서울특별시 중구  통일로 13
23,서울청,서울남대문,명동,1,파출소,02-2096-8473,서울특별시 중구  명동길 30 명동파출소
24,서울청,서울남대문,남대문,1,파출소,02-2096-8474,서울특별시 중구  남대문시장4길 28-16
25,서울청,서울남대문,중림,1,파출소,02-2096-8475,서울특별시 중구  중림로 36
26,서울청,서울남대문,회현,1,파출소,02-2096-8476,서울특별시 중구  퇴계로6길 3-10
27,서울청,서울남대문,서소문,1,파출소,02-2096-8477,서울특별시 중구  서소문로 131-1 서소문파출소
28,서울청,서울서대문,충정로,1,지구대,02-335-8301,서울특별시 서대문구  독립문로 25-1
29,서울청,서울서대문,신촌,1,지구대,02-335-8302,서울특별시 서대문구  신촌역로 22
30,서울청,서울서대문,홍은,1,파출소,02-335-8303,서울특별시 서대문구 세검정로1길 112
31,서울청,서울서대문,연희,1,파출소,02-335-8304,서울특별시 서대문구  연희로25길 73
32,서울청,서울서대문,남가좌,1,파출소,02-335-8305,서울특별시 서대문구  가재울로4길 51
33,서울청,서울서대문,북가좌,1,파출소,02-335-8306,서울특별시 서대문구  증가로 244
34,서울청,서울서대문,홍제,1,파출소,02-335-8307,서울특별시 서대문구  통일로 441-1
35,서울청,서울서대문,홍은2,1,파출소,02-335-8308,서울특별시 서대문구  연희로 298
36,서울청,서울혜화,혜화,1,파출소,02-762-0811,서울특별시 종로구  창경궁로 279 
37,서울청,서울혜화,대학로,1,파출소,02-763-1230,서울특별시 종로구  이화장2길 33
38,서울청,서울혜화,명륜,1,파출소,02-762-1120,서울특별시 종로구  성균관로 78
39,서울청,서울혜화,창신,1,파출소,02-763-4200,서울특별시 종로구  지봉로13길 20-12
40,서울청,서울혜화,동묘,1,파출소,02-2252-0547,서울특별시 종로구  종로58가길 19 동묘파출소
41,서울청,서울혜화,덕산,1,파출소,02-763-6843,서울특별시 종로구  창신길 98
42,서울청,서울혜화,종로5가,1,파출소,02-2267-2287,서울특별시 종로구  동호로 407
43,서울청,서울혜화,효제,1,파출소,02-762-8485,서울특별시 종로구  종로41나길 24-6
44,서울청,서울용산,원효,1,지구대,02-2198-0191,서울특별시 용산구  백범로 329
45,서울청,서울용산,용중,1,지구대,02-2198-0117,"서울특별시 용산구  후암로16나길 17, 용중지구대"
46,서울청,서울용산,이태원,1,파출소,02-2198-0125,서울특별시 용산구  이태원로 184
47,서울청,서울용산,한남,1,파출소,02-2198-0136,"서울특별시 용산구  대사관로34길 53, 한남파출소"
48,서울청,서울용산,보광,1,파출소,02-2198-0143,"서울특별시 용산구  보광로 25-1, 보광파출소"
49,서울청,서울용산,삼각지,1,파출소,02-2198-0152,서울특별시 용산구  한강대로198-2
50,서울청,서울용산,한강로,1,지구대,02-2198-0158,서울특별시 용산구  서빙고로67
51,서울청,서울성북,돈암,1,지구대,02-920-1810,서울특별시 성북구  아리랑로5길 54
52,서울청,서울성북,안암,1,지구대,02-920-1820,서울특별시 성북구  지봉로21길 45
53,서울청,서울성북,길음,1,지구대,02-920-1830,서울특별시 성북구  삼양로13길 51 길음지구대
54,서울청,서울성북,정릉,1,파출소,02-920-1840,서울특별시 성북구  솔샘로 111
55,서울청,서울성북,정릉2,1,파출소,02-920-1850,서울특별시 성북구  정릉로26길 6 정릉2파출소
56,서울청,서울성북,성북,1,파출소,02-920-1860,서울특별시 성북구  성북로 94  성북파출소
57,서울청,서울동대문,답십리,1,지구대,02-961-4301,서울시 동대문구 사가정로 2길 9
58,서울청,서울동대문,용신,1,지구대,02-961-4302,서울특별시 동대문구  청계천로549
59,서울청,서울동대문,청량리,1,파출소,02-961-4303,서울특별시 동대문구 약령시로21길 15
60,서울청,서울동대문,제기,1,파출소,02-961-4304,서울특별시 동대문구 약령시로 17길 59-11
61,서울청,서울동대문,전농1,1,파출소,02-961-4305,서울특별시 동대문구 서울시립대로 56
62,서울청,서울동대문,전농2,1,파출소,02-961-4306,서울특별시 동대문구 전농로38다길 21
63,서울청,서울동대문,장안1,1,파출소,02-961-4307,서울특별시 동대문구 한천로20길 7
64,서울청,서울동대문,장안2,1,파출소,02-961-4308,서울특별시 동대문구  답십리로 69길 100
65,서울청,서울동대문,이문,1,지구대,02-961-4309,서울특별시 동대문구  한천로 402
66,서울청,서울동대문,휘경,1,파출소,02-961-4310,서울특별시 동대문구  한천로 266
67,서울청,서울동대문,회기,1,파출소,02-961-4311,서울특별시 동대문구  회기로18길 2
68,서울청,서울마포,서강,1,지구대,02-334-4975,"서울특별시 마포구  독막로22길 8(창전동, 서강지구대)"
69,서울청,서울마포,공덕,1,지구대,02-703-0492,서울특별시 마포구 마포대로 195-1
70,서울청,서울마포,월드컵,1,지구대,02-373-1113,서울특별시 마포구  월드컵북로 30길 24
71,서울청,서울마포,홍익,1,지구대,02-334-8150,서울특별시 마포구  양화로11길 63
72,서울청,서울마포,용강,1,지구대,02-716-6391,서울특별시 마포구 토정로31길 35
73,서울청,서울마포,상암,1,파출소,02-309-9525,서울특별시 마포구  매봉산로 76
74,서울청,서울마포,망원,1,파출소,02-337-5908,서울특별시 마포구  망원로2길 63
75,서울청,서울마포,연남,1,파출소,02-334-4974,서울특별시 마포구  연남로 4
76,서울청,서울영등포,중앙,1,지구대,02-2118-9101,서울특별시 영등포구  영등포로46길 14
77,서울청,서울영등포,여의도,1,지구대,02-2118-9102,서울특별시 영등포구  여의공원로 120 여의도지구대
78,서울청,서울영등포,문래,1,지구대,02-2118-9103,서울특별시 영등포구  경인로 759
79,서울청,서울영등포,신풍,1,지구대,02-2118-9104,서울특별시 영등포구 신길동 4533-16
80,서울청,서울영등포,신길,1,지구대,02-2118-9105,서울특별시 영등포구  신길로60다길 16 
81,서울청,서울영등포,양평,1,파출소,02-2118-9106,서울특별시 영등포구  선유로 95
82,서울청,서울영등포,당산,1,지구대,02-2118-9107,서울특별시 영등포구  당산로 221
83,서울청,서울영등포,대림,1,지구대,02-2118-9108,서울특별시 영등포구  대림로23길 16-1
84,서울청,서울영등포,대림3,1,파출소,02-2118-9109,서울특별시 영등포구 대림로 197
85,서울청,서울영등포,영등포역,1,파출소,02-2118-9110,서울특별시 영등포구 경인로90길 9-2
