범죄대분류,범죄중분류,0시00분-02시59분,03시00분-05시59분,06시00분-08시59분,09시00분-11시59분,12시00분-14시59분,15시00분-17시59분,18시00분-20시59분,21시00분-23시59분,미상,일,월,화,수,목,금,토
강력범죄,살인기수,15,21,20,28,38,33,43,49,50,38,45,48,40,37,49,40
강력범죄,살인미수등,33,50,29,44,46,60,66,82,72,71,70,68,62,73,85,53
강력범죄,강도,105,131,44,59,68,72,81,107,131,111,113,116,105,124,121,108
강력범죄,강간,630,885,417,293,325,311,425,719,1305,869,686,734,719,682,722,898
강력범죄,유사강간,102,110,57,62,60,55,66,89,181,145,99,109,92,89,112,136
강력범죄,강제추행,1855,1921,1293,1163,1300,1706,2189,2901,2792,2580,2272,2306,2358,2231,2542,2831
강력범죄,기타 강간 강제추행등,36,47,12,26,20,37,30,40,77,58,53,45,49,39,43,38
강력범죄,방화,144,151,105,124,109,173,189,228,139,209,181,181,209,170,206,206
절도범죄,절도,13088,14167,13094,21501,27167,28553,27229,20568,21590,25466,26239,25671,26061,26098,28156,29266
폭력범죄,상해,4166,3408,2247,2967,3025,3684,4585,7433,5343,5693,4908,5063,5038,5110,5270,5776
폭력범죄,폭행,19226,16377,9345,11591,12509,14791,20704,34120,18534,25865,19966,20766,20981,21080,22045,26494
폭력범죄,체포 감금,96,106,76,122,147,146,135,185,230,180,189,170,171,169,196,168
폭력범죄,협박,1316,1036,1339,2288,2251,2687,3304,3437,3364,2886,3013,3039,3072,2961,3040,3011
폭력범죄,약취 유인,10,12,17,29,41,48,32,13,48,27,40,41,34,32,40,36
폭력범죄,폭력행위등,1234,1263,460,450,508,704,936,1427,1368,1544,1126,1100,1086,1001,1063,1430
폭력범죄,공갈,135,122,74,388,455,590,599,507,1977,483,818,740,757,744,756,549
폭력범죄,손괴,5107,4556,4014,5277,4983,6289,9323,10822,7775,8617,7974,7634,7766,7989,8788,9378
지능범죄,직무유기,2,3,8,123,33,21,9,5,386,24,108,123,106,99,102,28
지능범죄,직권남용,8,11,12,135,48,40,26,15,379,44,126,118,97,107,136,46
지능범죄,증수뢰,0,0,2,25,11,6,8,4,204,13,46,42,52,42,45,20
지능범죄,통화,9,9,27,183,115,95,41,22,479,35,186,169,187,177,178,48
지능범죄,문서 인장,174,134,63,1688,747,464,275,290,7508,620,2130,1971,1840,2032,1978,772
지능범죄,유가증권인지,0,1,2,27,9,15,7,2,77,8,22,16,30,21,24,19
지능범죄,사기,5443,3949,3056,39184,30405,21648,13930,12387,174470,20814,52740,51876,51225,51654,52039,24124
지능범죄,횡령,2754,2526,2780,6781,6586,6584,6646,6367,17484,7231,8559,8128,8318,8460,9317,8495
지능범죄,배임,3,4,21,1123,277,68,39,8,3023,248,859,730,787,735,905,302
풍속범죄,성풍속범죄,736,597,773,1126,1225,1724,1675,1931,3358,1614,1957,1956,2066,1900,1982,1670
풍속범죄,도박범죄,184,112,114,456,488,853,868,819,4114,915,1106,1174,1237,1304,1291,981
특별경제범죄,특별경제범죄,1688,1426,1333,6702,5340,4802,3768,4320,22021,3948,8724,8608,8477,8432,8502,4709
마약범죄,마약범죄,244,214,151,635,773,890,776,674,3681,789,1278,1352,1219,1195,1272,933
보건범죄,보건범죄,596,404,140,880,694,1009,893,1747,6207,934,2051,2096,1962,2043,2085,1399
환경범죄,환경범죄,42,53,117,458,290,190,90,126,2511,168,749,696,652,653,696,263
교통범죄,교통범죄,24513,23438,37189,44265,45675,53506,58164,70537,20067,47698,51459,53605,54509,54846,58103,57134
노동범죄,노동범죄,20,41,80,124,125,117,53,78,337,85,162,139,168,175,143,103
안보범죄,안보범죄,2,0,0,10,18,10,3,6,120,36,25,13,22,25,24,24
선거범죄,선거범죄,0,1,22,121,53,34,38,3,339,65,90,91,100,113,95,57
병역범죄,병역범죄,3,1,20,1440,285,55,58,19,10831,111,3068,3580,1940,2082,1834,97
기타범죄,기타범죄,10376,9184,9935,31337,22841,20037,18200,22421,95837,25278,39244,37277,36996,37250,37367,26756
