연번,전체기관명,도로명주소
1,경찰청 강원도경찰청,강원도 춘천시 동내면 세실로 49
2,경찰청 강원도경찰청 강릉경찰서,강원도 강릉시 강릉대로 377
3,경찰청 강원도경찰청 강릉경찰서 강동파출소,강원도 강릉시 강동면 와천로 468-4
4,경찰청 강원도경찰청 강릉경찰서 남부지구대,강원도 강릉시 임영로 74 
5,경찰청 강원도경찰청 강릉경찰서 동부지구대,강원도 강릉시 경강로 2439 동부지구대
6,경찰청 강원도경찰청 강릉경찰서 북부지구대,강원도 강릉시 주문진읍 주문로 130
7,경찰청 강원도경찰청 강릉경찰서 서부지구대,강원도 강릉시 하슬라로 223
8,경찰청 강원도경찰청 강릉경찰서 옥계파출소,강원도 강릉시 옥계면 현내시장길 26
9,경찰청 강원도경찰청 강릉경찰서 중부지구대,강원도 강릉시 용지로 172 중부지구대
10,경찰청 강원도경찰청 고성경찰서,강원도 고성군 간성읍 탑동길 12
11,경찰청 강원도경찰청 고성경찰서 간성파출소,강원도 고성군 간성읍 간성로 104
12,경찰청 강원도경찰청 고성경찰서 금강파출소,강원도 고성군 거진읍 거진길 67
13,경찰청 강원도경찰청 고성경찰서 죽왕파출소,강원도 고성군 죽왕면 심층수길 15
14,경찰청 강원도경찰청 고성경찰서 토성파출소,강원도 고성군 토성면 토성로 165
15,경찰청 강원도경찰청 동해경찰서,강원도 동해시 천곡로 107
16,경찰청 강원도경찰청 동해경찰서 묵호지구대,강원도 동해시 발한로 241
17,경찰청 강원도경찰청 동해경찰서 북삼지구대,강원도 동해시 효자남길 33-8
18,경찰청 강원도경찰청 동해경찰서 북평파출소,강원도 동해시 대동로 132
19,경찰청 강원도경찰청 동해경찰서 천곡지구대,"강원도 동해시 천곡로 16, 천곡지구대"
20,경찰청 강원도경찰청 삼척경찰서,강원도 삼척시 정상로 53
21,경찰청 강원도경찰청 삼척경찰서 근덕파출소,강원도 삼척시 근덕면 삼척로 3655 근덕파출소
22,경찰청 강원도경찰청 삼척경찰서 도계파출소,강원도 삼척시 도계읍 도계로 262 도계파출소
23,경찰청 강원도경찰청 삼척경찰서 미로파출소,강원도 삼척시 도계읍 강원남부로 4033
24,경찰청 강원도경찰청 삼척경찰서 성내파출소,강원도 삼척시 진주로 30 성내파출소
25,경찰청 강원도경찰청 삼척경찰서 원덕파출소,강원도 삼척시 원덕읍 삼척로 418
26,경찰청 강원도경찰청 삼척경찰서 임원파출소,강원도 삼척시 원덕읍 삼척로 1214
27,경찰청 강원도경찰청 삼척경찰서 정라지구대,강원도 삼척시 새천년도로 40
28,경찰청 강원도경찰청 삼척경찰서 하장파출소,강원도 삼척시 하장면 하장길 74
29,경찰청 강원도경찰청 속초경찰서,강원도 속초시 도리원길 93
30,경찰청 강원도경찰청 속초경찰서 강현파출소,강원도 양양군 강현면 동해대로 3485-39
31,경찰청 강원도경찰청 속초경찰서 서면파출소,강원도 양양군 서면 물윗구미길 9
32,경찰청 강원도경찰청 속초경찰서 양양지구대,강원도 양양군 양양읍 남문로 33
33,경찰청 강원도경찰청 속초경찰서 영랑지구대,강원도 속초시 중앙로 22-9
34,경찰청 강원도경찰청 속초경찰서 청초지구대,강원도 속초시 동해대로 4100
35,경찰청 강원도경찰청 속초경찰서 현남파출소,강원도 양양군 현남면 인구중앙길 51
36,경찰청 강원도경찰청 속초경찰서 현북파출소,강원도 양양군 현북면 하조대1길 57
37,경찰청 강원도경찰청 양구경찰서,강원도 양구군 양구읍 양남로 1
38,경찰청 강원도경찰청 양구경찰서 국토정중앙파출소,강원도 양구군 남면 삼팔선로 10-3
39,경찰청 강원도경찰청 양구경찰서 동면파출소,강원도 양구군 금강산로 1685
40,경찰청 강원도경찰청 양구경찰서 방산파출소,강원도 양구군 방산면 평화로 5192
41,경찰청 강원도경찰청 양구경찰서 상리파출소,강원도 양구군 양구읍 택지길 74-45 상리파출소
42,경찰청 강원도경찰청 양구경찰서 해안파출소,강원도 양구군 해안면 펀치볼로 1313 
43,경찰청 강원도경찰청 영월경찰서,강원도 영월군 영월읍 단종로 9
44,경찰청 강원도경찰청 영월경찰서 김삿갓파출소,강원도 영월군 김삿갓면 영월동로 1676 
45,경찰청 강원도경찰청 영월경찰서 남면파출소,강원도 영월군 남면 영월로 815 남면파출소
46,경찰청 강원도경찰청 영월경찰서 영월지구대,강원도 영월군 영월읍 중앙로 77
47,경찰청 강원도경찰청 영월경찰서 주천파출소,강원도 영월군 주천면 주천로 75
48,경찰청 강원도경찰청 영월경찰서 중동파출소,강원도 영월군 산솔면 태백산로 1198
49,경찰청 강원도경찰청 영월경찰서 한반도파출소,강원도 영월군 한반도면 신천길 20-4
50,경찰청 강원도경찰청 원주경찰서,강원도 원주시 봉산로 1
51,경찰청 강원도경찰청 원주경찰서 단계지구대,강원도 원주시 북원로 2317
52,경찰청 강원도경찰청 원주경찰서 단관지구대,강원도 원주시 강변로 263
53,경찰청 강원도경찰청 원주경찰서 문막파출소,강원도 원주시 문막읍 건등로 3 
54,경찰청 강원도경찰청 원주경찰서 봉산지구대,강원도 원주시 현충로 107-8
55,경찰청 강원도경찰청 원주경찰서 부론파출소,강원도 원주시 부론면 법천시장길 33
56,경찰청 강원도경찰청 원주경찰서 북원지구대,강원도 원주시 우산공단길 9-1 
57,경찰청 강원도경찰청 원주경찰서 중앙지구대,강원도 원주시 평원로 160
58,경찰청 강원도경찰청 원주경찰서 치악지구대,강원도 원주시 양지로 90
59,경찰청 강원도경찰청 원주경찰서 흥업지구대,강원도 원주시 흥업면 남원로 43 
60,경찰청 강원도경찰청 인제경찰서,강원도 인제군 인제읍 인제로209번길 9
61,경찰청 강원도경찰청 인제경찰서 기린파출소,강원도 인제군 기린면 기린로 32
62,경찰청 강원도경찰청 인제경찰서 남면파출소,강원도 인제군 남면 신남로 49 남면파출소
63,경찰청 강원도경찰청 인제경찰서 북면파출소,강원도 인제군 북면 원통로 278 북면파출소
64,경찰청 강원도경찰청 인제경찰서 상동파출소,강원도 인제군 인제읍 인제로 178번길 52-6
65,경찰청 강원도경찰청 인제경찰서 서화파출소,강원도 인제군 서화면 천도로81번길 28
66,경찰청 강원도경찰청 정선경찰서,강원도 정선군 정선읍 비봉로 31
67,경찰청 강원도경찰청 정선경찰서 고한파출소,강원도 정선군 고한읍 고한2길 5 
68,경찰청 강원도경찰청 정선경찰서 남면파출소,강원도 정선군 남면 칠현로 45
69,경찰청 강원도경찰청 정선경찰서 사북파출소,강원도 정선군 사북읍 사북중앙로 49 정선경찰서 사북파출소
70,경찰청 강원도경찰청 정선경찰서 신동파출소,강원도 정선군 신동읍 의림로 321
71,경찰청 강원도경찰청 정선경찰서 여량파출소,강원도 정선군 정선읍 서동로 2921 정선경찰서 여량파출소
72,경찰청 강원도경찰청 정선경찰서 임계파출소,강원도 정선군 정선읍 서동로 4559
73,경찰청 강원도경찰청 정선경찰서 정선파출소,강원도 정선군 정선읍 봉양7길 36
74,경찰청 강원도경찰청 정선경찰서 화암파출소,강원도 정선군 화암면 그림바위길 68 화암파출소
75,경찰청 강원도경찰청 철원경찰서,강원도 철원군 갈말읍 삼부연로 35
76,경찰청 강원도경찰청 철원경찰서 갈말파출소,강원도 철원군 갈말읍 명성로174번길 51
77,경찰청 강원도경찰청 철원경찰서 김화파출소,강원도 철원군 서면 와수로 232 김화파출소
78,경찰청 강원도경찰청 철원경찰서 동송지구대,강원도 철원군 동송읍 금학로 169-12
79,경찰청 강원도경찰청 춘천경찰서,강원도 춘천시 춘천로 61
80,경찰청 강원도경찰청 춘천경찰서 남부지구대,강원도 춘천시 우석로4번길 21 남부지구대
81,경찰청 강원도경찰청 춘천경찰서 남산파출소,강원도 춘천시 남산면 한치로 77
82,경찰청 강원도경찰청 춘천경찰서 사북파출소,강원도 춘천시 사북면 영서로 4715 사북파출소
83,경찰청 강원도경찰청 춘천경찰서 서면파출소,강원도 춘천시 서면 박사로 1277서면파출소
84,경찰청 강원도경찰청 춘천경찰서 서부지구대,강원도 춘천시 영서로 2414
85,경찰청 강원도경찰청 춘천경찰서 소양로지구대,강원도 춘천시 공지로 571-1
86,경찰청 강원도경찰청 춘천경찰서 신북파출소,강원도 춘천시 신북읍 율문길 79
87,경찰청 강원도경찰청 춘천경찰서 신사우파출소,강원도 춘천시 영서로2771번길 2
88,경찰청 강원도경찰청 춘천경찰서 중부지구대,강원도 춘천시 서부대성로 168
89,경찰청 강원도경찰청 춘천경찰서 후평지구대,강원도 춘천시 춘천로 325 
90,경찰청 강원도경찰청 태백경찰서,강원도 태백시 장성로 26
