년도,지방청,경찰서, 경찰관 
2014년,서울,서울중부,497 
2014년,서울,서울종로,620 
2014년,서울,서울남대문,472 
2014년,서울,서울서대문,648 
2014년,서울,서울혜화,468 
2014년,서울,서울용산,663 
2014년,서울,서울성북,518 
2014년,서울,서울동대문,765 
2014년,서울,서울마포,766 
2014년,서울,서울영등포,890 
2014년,서울,서울성동,624 
2014년,서울,서울동작,635 
2014년,서울,서울광진,657 
2014년,서울,서울서부,388 
2014년,서울,서울강북,621 
2014년,서울,서울금천,534 
2014년,서울,서울중랑,728 
2014년,서울,서울강남,768 
2014년,서울,서울관악,776 
2014년,서울,서울강서,809 
2014년,서울,서울강동,704 
2014년,서울,서울종암,396 
2014년,서울,서울구로,732 
2014년,서울,서울서초,641 
2014년,서울,서울양천,723 
2014년,서울,서울송파,991 
2014년,서울,서울노원,763 
2014년,서울,서울방배,349 
2014년,서울,서울은평,467 
2014년,서울,서울도봉,525 
2014년,서울,서울수서,583 
2014년,부산,부산중부,296 
2014년,부산,부산동래,510 
2014년,부산,부산영도,365 
2014년,부산,부산동부,382 
2014년,부산,부산진,777 
2014년,부산,부산서부,339 
2014년,부산,부산남부,742 
2014년,부산,부산해운대,658 
2014년,부산,부산사상,486 
2014년,부산,부산금정,502 
2014년,부산,부산사하,559 
2014년,부산,부산연제,534 
2014년,부산,부산강서,288 
2014년,부산,부산북부,443 
2014년,부산,부산기장,291 
2014년, 대구 , 대구중부 ,384 
2014년, 대구 , 대구동부 ,598 
2014년, 대구 , 대구서부 ,436 
2014년, 대구 , 대구남부 ,383 
2014년, 대구 , 대구북부 ,434 
2014년, 대구 , 대구수성 ,614 
2014년, 대구 , 대구달서 ,401 
2014년, 대구 , 대구성서 ,492 
2014년, 대구 , 대구달성 ,328 
2014년, 대구 , 대구강북 ,331 
2014년,인천,인천중부,548 
2014년,인천,인천남부,694 
2014년,인천,인천남동,694 
2014년,인천,인천부평,457 
2014년,인천,인천삼산,427 
2014년,인천,인천서부,626 
2014년,인천,인천계양,457 
2014년,인천,인천연수,401 
2014년,인천,인천강화,202 
2014년,광주,광주동부,356 
2014년,광주,광주서부,563 
2014년,광주,광주남부,342 
2014년,광주,광주북부,672 
2014년,광주,광주광산,523 
2014년,대전,대전중부,418 
2014년,대전,대전동부,426 
2014년,대전,대전서부,333 
2014년,대전,대전대덕,312 
2014년,대전,대전둔산,663 
2014년,울산,울산중부,517 
2014년,울산,울산남부,574 
2014년,울산,울산동부,353 
2014년,울산,울산울주,345 
2014년,경기,수원중부,578 
2014년,경기,수원남부,668 
2014년,경기,수원서부,434 
2014년,경기,안양동안,436 
2014년,경기,안양만안,409 
2014년,경기,군포,354 
2014년,경기,성남수정,479 
2014년,경기,성남중원,461 
2014년,경기,분당,523 
2014년,경기,부천소사,340 
2014년,경기,부천원미,782 
2014년,경기,부천오정,301 
2014년,경기,의정부,696 
2014년,경기,고양,497 
2014년,경기,일산,631 
2014년,경기,광명,451 
2014년,경기,안산단원,627 
2014년,경기,안산상록,518 
2014년,경기,시흥,655 
2014년,경기,평택,705 
2014년,경기,남양주,630 
2014년,경기,화성동부,545 
2014년,경기,화성서부,397 
2014년,경기,용인동부,584 
2014년,경기,용인서부,332 
2014년,경기,광주,387 
2014년,경기,파주,495 
2014년,경기,김포,419 
2014년,경기,과천,173 
2014년,경기,의왕,204 
2014년,경기,하남,234 
2014년,경기,양주,293 
2014년,경기,동두천,205 
2014년,경기,구리,343 
2014년,경기,이천,347 
2014년,경기,포천,327 
2014년,경기,안성,304 
2014년,경기,여주,245 
2014년,경기,양평,234 
2014년,경기,가평,182 
2014년,경기,연천,162 
2014년,강원,춘천,445 
2014년,강원,강릉,384 
2014년,강원,원주,492 
2014년,강원,동해,222 
2014년,강원,태백,145 
2014년,강원,속초,293 
2014년,강원,삼척,211 
2014년,강원,영월,135 
2014년,강원,정선,147 
2014년,강원,홍천,181 
2014년,강원,평창,134 
2014년,강원,횡성,129 
2014년,강원,고성,114 
2014년,강원,인제,114 
2014년,강원,철원,120 
2014년,강원,화천,98 
2014년,강원,양구,97 
2014년,충북,청주흥덕,410 
2014년,충북,청주상당,327 
2014년,충북,청주청원,354 
2014년,충북,충주,323 
2014년,충북,제천,251 
2014년,충북,영동,145 
2014년,충북,괴산,160 
2014년,충북,단양,110 
2014년,충북,보은,124 
2014년,충북,옥천,134 
2014년,충북,음성,185 
2014년,충북,진천,145 
2014년,충남,천안서북,424 
2014년,충남,천안동남,376 
2014년,충남,서산,387 
2014년,충남,논산,245 
2014년,충남,아산,333 
2014년,충남,공주,231 
2014년,충남,보령,241 
2014년,충남,당진,240 
2014년,충남,세종,221 
2014년,충남,홍성,196 
2014년,충남,예산,173 
2014년,충남,부여,176 
2014년,충남,서천,163 
2014년,충남,금산,137 
2014년,충남,청양,124 
2014년,전북,전주완산,507 
2014년,전북,전주덕진,485 
2014년,전북,군산,515 
2014년,전북,익산,483 
2014년,전북,정읍,307 
2014년,전북,남원,258 
2014년,전북,김제,246 
2014년,전북,완주,191 
2014년,전북,고창,166 
2014년,전북,부안,176 
2014년,전북,임실,121 
2014년,전북,순창,115 
2014년,전북,진안,126 
2014년,전북,장수,99 
2014년,전북,무주,102 
2014년,전남,목포,589 
2014년,전남,여수,501 
2014년,전남,순천,446 
2014년,전남,나주,244 
2014년,전남,광양,262 
2014년,전남,고흥,206 
2014년,전남,해남,201 
2014년,전남,무안,186 
2014년,전남,장흥,138 
2014년,전남,보성,147 
2014년,전남,영광,148 
2014년,전남,화순,158 
2014년,전남,함평,122 
2014년,전남,영암,164 
2014년,전남,장성,135 
2014년,전남,강진,131 
2014년,전남,담양,131 
2014년,전남,곡성,114 
2014년,전남,완도,164 
2014년,전남,진도,126 
2014년,전남,구례,112 
2014년,경북,경주,453 
2014년,경북,포항북부,420 
2014년,경북,포항남부,401 
2014년,경북,구미,562 
2014년,경북,경산,369 
2014년,경북,안동,317 
2014년,경북,김천,266 
2014년,경북,영주,215 
2014년,경북,영천,216 
2014년,경북,상주,227 
2014년,경북,문경,182 
2014년,경북,칠곡,212 
2014년,경북,의성,168 
2014년,경북,청도,113 
2014년,경북,영덕,118 
2014년,경북,울진,138 
2014년,경북,봉화,107 
2014년,경북,예천,122 
2014년,경북,성주,119 
2014년,경북,청송,97 
2014년,경북,영양,76 
2014년,경북,군위,93 
2014년,경북,고령,97 
2014년,경북,울릉,53 
2014년,경남,창원중부,391 
2014년,경남,창원서부,298 
2014년,경남,마산중부,270 
2014년,경남,마산동부,355 
2014년,경남,진주,466 
2014년,경남,김해중부,432 
2014년,경남,김해서부,247 
2014년,경남,거제,319 
2014년,경남,양산,331 
2014년,경남,진해,216 
2014년,경남,통영,235 
2014년,경남,사천,208 
2014년,경남,밀양,197 
2014년,경남,거창,159 
2014년,경남,합천,155 
2014년,경남,창녕,150 
2014년,경남,고성,152 
2014년,경남,하동,142 
2014년,경남,남해,133 
2014년,경남,함양,124 
2014년,경남,산청,124 
2014년,경남,함안,149 
2014년,경남,의령,130 
2014년,제주,제주동부,433 
2014년,제주,제주서부,326 
2014년,제주,서귀포,323 
2015년,서울,서울중부,502 
2015년,서울,서울종로,635 
2015년,서울,서울남대문,482 
2015년,서울,서울서대문,657 
2015년,서울,서울혜화,474 
2015년,서울,서울용산,681 
2015년,서울,서울성북,525 
2015년,서울,서울동대문,780 
2015년,서울,서울마포,820 
2015년,서울,서울영등포,942 
2015년,서울,서울성동,634 
2015년,서울,서울동작,649 
2015년,서울,서울광진,659 
2015년,서울,서울서부,392 
2015년,서울,서울강북,638 
2015년,서울,서울금천,555 
2015년,서울,서울중랑,737 
2015년,서울,서울강남,778 
2015년,서울,서울관악,830 
2015년,서울,서울강서,861 
2015년,서울,서울강동,711 
2015년,서울,서울종암,403 
2015년,서울,서울구로,746 
2015년,서울,서울서초,652 
2015년,서울,서울양천,734 
2015년,서울,서울송파,1004 
2015년,서울,서울노원,773 
2015년,서울,서울방배,356 
2015년,서울,서울은평,473 
2015년,서울,서울도봉,536 
2015년,서울,서울수서,599 
2015년,부산,부산중부,307 
2015년,부산,부산동래,523 
2015년,부산,부산영도,368 
2015년,부산,부산동부,391 
2015년,부산,부산진,826 
2015년,부산,부산서부,348 
2015년,부산,부산남부,760 
2015년,부산,부산해운대,680 
2015년,부산,부산사상,494 
2015년,부산,부산금정,515 
2015년,부산,부산사하,567 
2015년,부산,부산연제,542 
2015년,부산,부산강서,304 
2015년,부산,부산북부,460 
2015년,부산,부산기장,306 
2015년, 대구 , 대구중부 ,392 
2015년, 대구 , 대구동부 ,613 
2015년, 대구 , 대구서부 ,452 
2015년, 대구 , 대구남부 ,393 
2015년, 대구 , 대구북부 ,444 
2015년, 대구 , 대구수성 ,629 
2015년, 대구 , 대구달서 ,412 
2015년, 대구 , 대구성서 ,547 
2015년, 대구 , 대구달성 ,339 
2015년, 대구 , 대구강북 ,342 
2015년,인천,인천중부,554 
2015년,인천,인천남부,703 
2015년,인천,인천남동,771 
2015년,인천,인천부평,464 
2015년,인천,인천삼산,429 
2015년,인천,인천서부,645 
2015년,인천,인천계양,470 
2015년,인천,인천연수,410 
2015년,인천,인천강화,209 
2015년,광주,광주동부,361 
2015년,광주,광주서부,572 
2015년,광주,광주남부,356 
2015년,광주,광주북부,707 
2015년,광주,광주광산,535 
2015년,대전,대전중부,427 
2015년,대전,대전동부,435 
2015년,대전,대전서부,339 
2015년,대전,대전대덕,319 
2015년,대전,대전둔산,453 
2015년,대전,대전유성,387 
2015년,울산,울산중부,531 
2015년,울산,울산남부,621 
2015년,울산,울산동부,363 
2015년,울산,울산울주,361 
2015년,경기,수원중부,584 
2015년,경기,수원남부,695 
2015년,경기,수원서부,481 
2015년,경기,안양동안,442 
2015년,경기,안양만안,423 
2015년,경기,군포,375 
2015년,경기,성남수정,477 
2015년,경기,성남중원,474 
2015년,경기,분당,552 
2015년,경기,부천소사,339 
2015년,경기,부천원미,805 
2015년,경기,부천오정,307 
2015년,경기,의정부,729 
2015년,경기,고양,491 
2015년,경기,일산,653 
2015년,경기,광명,462 
2015년,경기,안산단원,697 
2015년,경기,안산상록,542 
2015년,경기,시흥,723 
2015년,경기,평택,723 
2015년,경기,남양주,656 
2015년,경기,화성동부,583 
2015년,경기,화성서부,402 
2015년,경기,용인동부,595 
2015년,경기,용인서부,335 
2015년,경기,광주,397 
2015년,경기,파주,510 
2015년,경기,김포,435 
2015년,경기,과천,168 
2015년,경기,의왕,208 
2015년,경기,하남,237 
2015년,경기,양주,288 
2015년,경기,동두천,207 
2015년,경기,구리,337 
2015년,경기,이천,345 
2015년,경기,포천,336 
2015년,경기,안성,302 
2015년,경기,여주,247 
2015년,경기,양평,239 
2015년,경기,가평,186 
2015년,경기,연천,162 
2015년,강원,춘천,458 
2015년,강원,강릉,390 
2015년,강원,원주,543 
2015년,강원,동해,227 
2015년,강원,태백,149 
2015년,강원,속초,299 
2015년,강원,삼척,218 
2015년,강원,영월,139 
2015년,강원,정선,150 
2015년,강원,홍천,187 
2015년,강원,평창,138 
2015년,강원,횡성,134 
2015년,강원,고성,117 
2015년,강원,인제,116 
2015년,강원,철원,124 
2015년,강원,화천,101 
2015년,강원,양구,99 
2015년,충북,청주흥덕,472 
2015년,충북,청주상당,340 
2015년,충북,청주청원,361 
2015년,충북,충주,334 
2015년,충북,제천,256 
