"구분별(1)","구분별(2)",종류별(1),2014
"서울시","소계",종합,5.09
"서울시","소계",자연재해,4.54
"서울시","소계",밤거리,5.53
"서울시","소계",범죄피해,5.52
"서울시","소계",건축물 사고,4.77
"성별","남자",종합,4.90
"성별","남자",자연재해,4.44
"성별","남자",밤거리,5.22
"성별","남자",범죄피해,5.28
"성별","남자",건축물 사고,4.64
"성별","여자",종합,5.28
"성별","여자",자연재해,4.63
"성별","여자",밤거리,5.84
"성별","여자",범죄피해,5.75
"성별","여자",건축물 사고,4.88
"연령별","10대",종합,5.31
"연령별","10대",자연재해,4.74
"연령별","10대",밤거리,5.80
"연령별","10대",범죄피해,5.82
"연령별","10대",건축물 사고,4.89
"연령별","20대",종합,5.24
"연령별","20대",자연재해,4.63
"연령별","20대",밤거리,5.70
"연령별","20대",범죄피해,5.74
"연령별","20대",건축물 사고,4.88
"연령별","30대",종합,5.12
"연령별","30대",자연재해,4.56
"연령별","30대",밤거리,5.57
"연령별","30대",범죄피해,5.54
"연령별","30대",건축물 사고,4.81
"연령별","40대",종합,5.15
"연령별","40대",자연재해,4.62
"연령별","40대",밤거리,5.58
"연령별","40대",범죄피해,5.59
"연령별","40대",건축물 사고,4.83
"연령별","50대",종합,5.01
"연령별","50대",자연재해,4.46
"연령별","50대",밤거리,5.44
"연령별","50대",범죄피해,5.46
"연령별","50대",건축물 사고,4.69
"연령별","60대 이상",종합,4.88
"연령별","60대 이상",자연재해,4.38
"연령별","60대 이상",밤거리,5.32
"연령별","60대 이상",범죄피해,5.23
"연령별","60대 이상",건축물 사고,4.60
"학력별","중졸 이하",종합,4.78
"학력별","중졸 이하",자연재해,4.25
"학력별","중졸 이하",밤거리,5.24
"학력별","중졸 이하",범죄피해,5.20
"학력별","중졸 이하",건축물 사고,4.44
"학력별","고졸 이하",종합,5.14
"학력별","고졸 이하",자연재해,4.64
"학력별","고졸 이하",밤거리,5.58
"학력별","고졸 이하",범죄피해,5.52
"학력별","고졸 이하",건축물 사고,4.82
"학력별","대졸 이하",종합,5.13
"학력별","대졸 이하",자연재해,4.55
"학력별","대졸 이하",밤거리,5.57
"학력별","대졸 이하",범죄피해,5.60
"학력별","대졸 이하",건축물 사고,4.81
"학력별","대학원 이상",종합,5.18
"학력별","대학원 이상",자연재해,4.27
"학력별","대학원 이상",밤거리,5.63
"학력별","대학원 이상",범죄피해,5.79
"학력별","대학원 이상",건축물 사고,5.05
"소득별","100만원 미만",종합,4.38
"소득별","100만원 미만",자연재해,3.98
"소득별","100만원 미만",밤거리,4.83
"소득별","100만원 미만",범죄피해,4.68
"소득별","100만원 미만",건축물 사고,4.03
"소득별","100-200만원 미만",종합,4.86
"소득별","100-200만원 미만",자연재해,4.28
"소득별","100-200만원 미만",밤거리,5.46
"소득별","100-200만원 미만",범죄피해,5.25
"소득별","100-200만원 미만",건축물 사고,4.45
"소득별","200-300만원 미만",종합,5.05
"소득별","200-300만원 미만",자연재해,4.46
"소득별","200-300만원 미만",밤거리,5.48
"소득별","200-300만원 미만",범죄피해,5.50
"소득별","200-300만원 미만",건축물 사고,4.75
"소득별","300-400만원 미만",종합,5.16
"소득별","300-400만원 미만",자연재해,4.65
"소득별","300-400만원 미만",밤거리,5.59
"소득별","300-400만원 미만",범죄피해,5.58
"소득별","300-400만원 미만",건축물 사고,4.81
"소득별","400-500만원 미만",종합,5.10
"소득별","400-500만원 미만",자연재해,4.54
"소득별","400-500만원 미만",밤거리,5.57
"소득별","400-500만원 미만",범죄피해,5.52
"소득별","400-500만원 미만",건축물 사고,4.76
"소득별","500만원 이상",종합,5.19
"소득별","500만원 이상",자연재해,4.62
"소득별","500만원 이상",밤거리,5.59
"소득별","500만원 이상",범죄피해,5.66
"소득별","500만원 이상",건축물 사고,4.91
"혼인상태별","기혼",종합,5.09
"혼인상태별","기혼",자연재해,4.55
"혼인상태별","기혼",밤거리,5.53
"혼인상태별","기혼",범죄피해,5.50
"혼인상태별","기혼",건축물 사고,4.78
"혼인상태별","미혼",종합,5.14
"혼인상태별","미혼",자연재해,4.57
"혼인상태별","미혼",밤거리,5.58
"혼인상태별","미혼",범죄피해,5.63
"혼인상태별","미혼",건축물 사고,4.77
"혼인상태별","이혼/별거",종합,5.18
"혼인상태별","이혼/별거",자연재해,4.51
"혼인상태별","이혼/별거",밤거리,5.71
"혼인상태별","이혼/별거",범죄피해,5.76
"혼인상태별","이혼/별거",건축물 사고,4.75
"혼인상태별","사별",종합,4.85
"혼인상태별","사별",자연재해,4.35
"혼인상태별","사별",밤거리,5.31
"혼인상태별","사별",범죄피해,5.14
"혼인상태별","사별",건축물 사고,4.59
"지역대분류","도심권",종합,5.07
"지역대분류","도심권",자연재해,4.29
"지역대분류","도심권",밤거리,5.44
"지역대분류","도심권",범죄피해,5.70
"지역대분류","도심권",건축물 사고,4.86
"지역대분류","동북권",종합,5.22
"지역대분류","동북권",자연재해,4.75
"지역대분류","동북권",밤거리,5.64
"지역대분류","동북권",범죄피해,5.61
"지역대분류","동북권",건축물 사고,4.87
"지역대분류","서북권",종합,5.31
"지역대분류","서북권",자연재해,4.79
"지역대분류","서북권",밤거리,5.82
"지역대분류","서북권",범죄피해,5.62
"지역대분류","서북권",건축물 사고,4.99
"지역대분류","서남권",종합,4.73
"지역대분류","서남권",자연재해,4.25
"지역대분류","서남권",밤거리,5.19
"지역대분류","서남권",범죄피해,5.12
"지역대분류","서남권",건축물 사고,4.35
"지역대분류","동남권",종합,5.31
"지역대분류","동남권",자연재해,4.55
"지역대분류","동남권",밤거리,5.72
"지역대분류","동남권",범죄피해,5.89
"지역대분류","동남권",건축물 사고,5.07
"지역소분류","종로구",종합,5.04
"지역소분류","종로구",자연재해,3.77
"지역소분류","종로구",밤거리,5.96
"지역소분류","종로구",범죄피해,6.03
"지역소분류","종로구",건축물 사고,4.40
"지역소분류","중구",종합,5.28
"지역소분류","중구",자연재해,4.81
"지역소분류","중구",밤거리,5.16
"지역소분류","중구",범죄피해,5.70
"지역소분류","중구",건축물 사고,5.43
"지역소분류","용산구",종합,4.99
"지역소분류","용산구",자연재해,4.37
"지역소분류","용산구",밤거리,5.23
"지역소분류","용산구",범죄피해,5.48
"지역소분류","용산구",건축물 사고,4.87
"지역소분류","성동구",종합,5.64
"지역소분류","성동구",자연재해,5.07
"지역소분류","성동구",밤거리,6.07
"지역소분류","성동구",범죄피해,6.16
"지역소분류","성동구",건축물 사고,5.26
"지역소분류","광진구",종합,4.58
"지역소분류","광진구",자연재해,4.24
"지역소분류","광진구",밤거리,4.89
"지역소분류","광진구",범죄피해,4.90
"지역소분류","광진구",건축물 사고,4.29
"지역소분류","동대문구",종합,5.02
"지역소분류","동대문구",자연재해,4.54
"지역소분류","동대문구",밤거리,5.52
"지역소분류","동대문구",범죄피해,5.40
"지역소분류","동대문구",건축물 사고,4.60
"지역소분류","중랑구",종합,5.34
"지역소분류","중랑구",자연재해,5.07
"지역소분류","중랑구",밤거리,5.71
"지역소분류","중랑구",범죄피해,5.55
"지역소분류","중랑구",건축물 사고,5.01
"지역소분류","성북구",종합,5.48
"지역소분류","성북구",자연재해,5.14
"지역소분류","성북구",밤거리,5.83
"지역소분류","성북구",범죄피해,5.90
"지역소분류","성북구",건축물 사고,5.04
"지역소분류","강북구",종합,4.92
"지역소분류","강북구",자연재해,4.32
"지역소분류","강북구",밤거리,5.27
"지역소분류","강북구",범죄피해,5.61
"지역소분류","강북구",건축물 사고,4.50
"지역소분류","도봉구",종합,5.88
"지역소분류","도봉구",자연재해,5.92
"지역소분류","도봉구",밤거리,5.93
"지역소분류","도봉구",범죄피해,5.82
"지역소분류","도봉구",건축물 사고,5.83
"지역소분류","노원구",종합,5.01
"지역소분류","노원구",자연재해,4.02
"지역소분류","노원구",밤거리,5.83
"지역소분류","노원구",범죄피해,5.59
"지역소분류","노원구",건축물 사고,4.61
"지역소분류","은평구",종합,5.11
"지역소분류","은평구",자연재해,4.66
"지역소분류","은평구",밤거리,5.72
"지역소분류","은평구",범죄피해,5.33
"지역소분류","은평구",건축물 사고,4.73
"지역소분류","서대문구",종합,5.67
"지역소분류","서대문구",자연재해,5.40
"지역소분류","서대문구",밤거리,5.86
"지역소분류","서대문구",범죄피해,5.81
"지역소분류","서대문구",건축물 사고,5.62
"지역소분류","마포구",종합,5.26
"지역소분류","마포구",자연재해,4.44
"지역소분류","마포구",밤거리,5.93
"지역소분류","마포구",범죄피해,5.87
"지역소분류","마포구",건축물 사고,4.82
"지역소분류","양천구",종합,3.77
"지역소분류","양천구",자연재해,3.53
"지역소분류","양천구",밤거리,4.11
"지역소분류","양천구",범죄피해,4.12
"지역소분류","양천구",건축물 사고,3.32
"지역소분류","강서구",종합,4.93
"지역소분류","강서구",자연재해,4.40
"지역소분류","강서구",밤거리,5.34
"지역소분류","강서구",범죄피해,5.29
"지역소분류","강서구",건축물 사고,4.67
"지역소분류","구로구",종합,5.09
"지역소분류","구로구",자연재해,4.61
"지역소분류","구로구",밤거리,5.53
"지역소분류","구로구",범죄피해,5.41
"지역소분류","구로구",건축물 사고,4.83
"지역소분류","금천구",종합,5.26
"지역소분류","금천구",자연재해,4.14
"지역소분류","금천구",밤거리,5.87
"지역소분류","금천구",범죄피해,5.95
"지역소분류","금천구",건축물 사고,5.07
"지역소분류","영등포구",종합,4.40
"지역소분류","영등포구",자연재해,4.10
"지역소분류","영등포구",밤거리,4.89
"지역소분류","영등포구",범죄피해,4.84
"지역소분류","영등포구",건축물 사고,3.76
"지역소분류","동작구",종합,4.99
"지역소분류","동작구",자연재해,4.15
"지역소분류","동작구",밤거리,5.78
"지역소분류","동작구",범죄피해,5.48
"지역소분류","동작구",건축물 사고,4.57
"지역소분류","관악구",종합,4.83
"지역소분류","관악구",자연재해,4.64
"지역소분류","관악구",밤거리,5.14
"지역소분류","관악구",범죄피해,5.11
"지역소분류","관악구",건축물 사고,4.44
"지역소분류","서초구",종합,5.06
"지역소분류","서초구",자연재해,4.10
"지역소분류","서초구",밤거리,5.73
"지역소분류","서초구",범죄피해,5.93
"지역소분류","서초구",건축물 사고,4.46
"지역소분류","강남구",종합,5.35
"지역소분류","강남구",자연재해,4.85
"지역소분류","강남구",밤거리,5.55
"지역소분류","강남구",범죄피해,5.92
"지역소분류","강남구",건축물 사고,5.07
"지역소분류","송파구",종합,5.74
"지역소분류","송파구",자연재해,4.83
"지역소분류","송파구",밤거리,6.04
"지역소분류","송파구",범죄피해,6.19
"지역소분류","송파구",건축물 사고,5.92
"지역소분류","강동구",종합,4.92
"지역소분류","강동구",자연재해,4.26
"지역소분류","강동구",밤거리,5.48
"지역소분류","강동구",범죄피해,5.42
"지역소분류","강동구",건축물 사고,4.
