"시군구명","어린이집코드","어린이집명","어린이집유형","운영현황","우편번호","상세주소","전화번호","팩스번호","홈페이지주소","보육실수","보육실 면적","놀이터수","CCTV총설치수","보육교직원수","정원","현원","시설 위도(좌표값)","시설 경도(좌표값)","통학차량운영여부","인가일자","휴지시작일자","휴지종료일자","폐지일자","데이터기준일자","제공서비스","반수-만0세","반수-만1세","반수-만2세","반수-만3세","반수-만4세","반수-만5세","반수-영아혼합(만0~2세)","반수-유아혼합(만3~5세)","반수-특수장애","반수-총계","아동수-만0세","아동수-만1세","아동수-만2세","아동수-만3세","아동수-만4세","아동수-만5세","아동수-영아혼합(만0~2세)","아동수-유아혼합(만3~5세)","아동수-특수장애","아동수-총계","근속년수-1년미만","근속년수-1년이상~2년미만","근속년수-2년이상~4년미만","근속년수-4년이상~6년미만","근속년수-6년이상","교직원현황-원장","교직원현황-보육교사","교직원현황-특수교사","교직원현황-치료교사","교직원현황-영양사","교직원현황-간호사","교직원현황-간호조무사","교직원현황-조리원","교직원현황-사무직원","교직원현황-총계","데이터수집일"
"서대문구","11410000379","사랑별어린이집","국공립","정상","03712","서울특별시 서대문구 수색로2길 19-7 DMC금호리첸시아아파트 단지 내","","","","4","95","0","0","0","27","0","37.566470","126.977963","","2022-10-27","","","","2022-10-26","일반","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","2022-10-26 22:03:35.0"
"중구","11140000123","현대캐피탈 도담어린이집","직장","정상","04527","서울특별시 중구 세종대로 14 그랜드센트럴 2층 현대캐피탈 도담어린이집","02-6411-6191","","","5","178","0","0","1","49","15","37.55771431591427","126.97455785839598","","2022-10-20","","","","2022-10-26","일반","0","1","1","1","1","1","0","0","0","5","0","1","3","6","3","2","0","0","0","15","","","","","","1","0","0","0","0","0","0","0","0","1","2022-10-26 06:18:44.0"
"광진구","11215000364","광진구육아종합지원센터(꾸미팡팡공동육아방 3호점)","국공립","정상","04999","서울특별시 광진구 동일로56가길 31 3층","02-466-1827","","","0","160","0","0","0","0","0","","","","2022-10-11","","","","2022-10-26","시간제보육","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","2022-10-26 22:02:15.0"
"영등포구","11560000498","삼환어린이집","국공립","정상","07227","서울특별시 영등포구 영중로 145 영등포삼환아파트 104동 101호","02-2679-5967","","","3","60","0","4","7","20","18","37.52965303803424","126.9047238972906","미운영","2022-10-01","","","","2022-10-26","일반","2","1","2","0","0","0","0","0","0","5","6","4","8","0","0","0","0","0","0","18","100","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2022-10-26 22:04:35.0"
"구로구","11530000648","별숲어린이집","국공립","정상","08226","서울특별시 구로구 경인로43길 49 고척아이파크MD 내 관리실","02-860-0000","","","10","1649","3","0","0","180","0","37.566470","126.977963","","2022-09-01","","","","2022-10-26","야간연장","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","2022-10-26 22:04:16.0"
"구로구","11530000649","달숲어린이집","국공립","정상","08225","서울특별시 구로구 중앙로5길 59 고척아이파크 RD 내 관리동","02-860-0000","","","6","478","2","0","0","89","0","37.500515359324986","126.8602203035339","","2022-09-01","","","","2022-10-26","장애아통합","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","2022-10-26 22:04:16.0"
"마포구","11440000481","삼성아이마루어린이집","국공립","정상","04139","서울특별시 마포구 백범로25길 63 염리삼성래미안 관리동","02-3275-0667","02-3275-0668","","4","107","1","8","11","30","24","37.548530363975836","126.94614577784598","미운영","2022-09-01","","","","2022-10-26","일반","6","1","1","0","0","0","1","0","0","9","14","5","0","0","0","0","5","0","0","24","100","0","0","0","0","1","9","0","0","0","0","0","1","0","11","2022-10-26 22:03:45.0"
"중랑구","11260000491","중랑실내놀이터","국공립","정상","02255","서울특별시 중랑구 용마산로 209","02-2207-1123","","","0","641","0","0","0","0","0","","","","2022-08-26","","","","2022-10-26","시간제보육","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","2022-10-26 22:02:35.0"
"영등포구","11560000497","LG 에너지솔루션 지정 어린이집","직장","정상","07335","서울특별시 영등포구 여의대로 108 파크원빌딩 3층","02-2118-0700","02-2118-0702","","9","375","1","42","43","108","62","37.52659220221173","126.92734807790963","","2022-08-24","","","","2022-10-26","일반","10","6","5","2","1","0","0","0","0","24","20","12","18","7","5","0","0","0","0","62","100","0","0","0","0","1","34","0","0","1","1","0","3","1","43","2022-10-26 22:04:35.0"
"강남구","11680000513","케이티앤지 어린이집","직장","정상","06176","서울특별시 강남구 영동대로 416 케이티앤지타워 1층","02-566-1696","","www.daum.net/ktng2022","4","159","0","8","7","49","10","37.50646819560551","127.0650886883344","미운영","2022-08-23","","","","2022-10-26","일반","3","0","0","0","0","0","1","0","0","4","7","0","0","0","0","0","3","0","0","10","100","0","0","0","0","1","5","0","0","0","0","0","1","0","7","2022-10-26 09:13:35.0"
