순서, 컬럼영문명, 컬럼한글명, 데이터타입, 길이, PK여부, NOT NULL여부
1,RSPN_YM,응답년월,VARCHAR,6,Y,N
2,ACPT_PLCST,접수경찰서,VARCHAR,200,Y,N
3,RSPN_CASCNT_WHOL,응답건수전체,NUMBER,30,N,Y
4,IMPRV_CONT_CMPLN_SNTN,개선내용칭찬글,NUMBER,30,N,Y
5,IMPRV_CONT_SNCRT,개선내용성의,NUMBER,30,N,Y
6,IMPRV_CONT_KNDLY,개선내용친절,NUMBER,30,N,Y
7,IMPRV_CONT_PRCDR,개선내용절차,NUMBER,30,N,Y
8,IMPRV_CONT_EXPTS,개선내용전문성,NUMBER,30,N,Y
9,IMPRV_CONT_MOVE_QCKNS,개선내용출동신속,NUMBER,30,N,Y
10,IMPRV_CONT_SMPLC,개선내용간편,NUMBER,30,N,Y
11,IMPRV_CONT_JOB_QCKNS,개선내용업무신속,NUMBER,30,N,Y
12,IMPRV_CONT_JOB_FRNSS,개선내용업무공정,NUMBER,30,N,Y
13,IMPRV_CONT_CNVC,개선내용편리성,NUMBER,30,N,Y
14,IMPRV_CONT_PRCDR_GUIDANCE,개선내용절차안내,NUMBER,30,N,Y
15,IMPRV_CONT_GOVAT_CNSLD,개선내용공권력강화,NUMBER,30,N,Y
16,IMPRV_CONT_OTR_INTND_PLCST,개선내용타지방청경찰서,NUMBER,30,N,Y
17,IMPRV_CONT_ETC,개선내용기타,NUMBER,30,N,Y
